Mindmap category,,,,,,,,,Bottom Up,Technology Offerings,Categories,Blips,URL,A/D,O,Research,WA,WA Combined,A/B,DOT,BS,Capacity,Sean,S1,Diptesh,D1,Sudip,S2,Darach,D2,Abhishek,A1,India DoT,Naresh,N1,Dixit 
Tech Stack,Layers,Presentation,Web,Clients,Rich,Java,,,Presentation layer,Next Generation Platform,Languages and Frameworks,JavaFX,https://vox.sapient.com/docs/DOC-118735?sr=stream,,EU,,3.833333333,Maintain,Exit,Out,50,0,Maintain,4,Maintain,4,Maintain,4,Invest,3,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Clients,HTML,Styling,CSS,Less,Presentation layer,Next Generation Platform,Languages and Frameworks,HTML5,https://vox.sapient.com/docs/DOC-118424?sr=stream,,IND,,3.333333333,Invest,Maintain,In,50,0,Maintain,4,Maintain,4,No Opinion ,0,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Clients,HTML,Styling,CSS,Sass,Presentation layer,Next Generation Platform,Languages and Frameworks,SASS/LESS,https://vox.sapient.com/docs/DOC-118511,,EU,TW-Oct12-Adopt ,1.5,Maintain,Invest,Static,50,0,No Opinion,0,Maintain,4,No Opinion ,0,No Opinion ,0,Hold,1,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Clients,HTML,UI framework,Bootstrap,,Presentation layer,Other,Languages and Frameworks,Bootstrap,https://vox.sapient.com/docs/DOC-118421?sr=stream,,EU,,3.833333333,Maintain,Invest,Static,50,0,Maintain,4,Invest,3,Maintain,4,Maintain,4,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Clients,HTML,UI framework,JQuery,,Presentation layer,Next Generation Platform,Languages and Frameworks,JQuery / Mobile,https://vox.sapient.com/docs/DOC-118523,,EU,,1.833333333,Watch,Maintain,Static,50,0,Watch,2,Hold,1,No Opinion ,0,No Opinion ,0,Maintain,4,,Maintain,4,
Tech Stack,Layers,Presentation,Web,Clients,HTML,UI framework,SproutCore,,Presentation layer,Other,Languages and Frameworks,SproutCore,https://vox.sapient.com/docs/DOC-118527,,EU,,1.5,Maintain,Exit,Static,50,0,Maintain,4,Invest,3,No Opinion ,0,No Opinion ,0,Hold,1,,Hold,1,
Tech Stack,Layers,Presentation,Web,Clients,HTML,Testing,Moco,,Presentation layer,Other,Languages and Frameworks,Moco,https://vox.sapient.com/docs/DOC-118530,,IND,TW-Jul14-Trial,2.833333333,Invest,Watch,Static,50,0,Maintain,4,Invest,3,Maintain,4,Maintain,4,Watch,2,,No Opinion,0,
Tech Stack,Layers,Presentation,Web,Clients,Mobile,Mobile Frameworks,PhoneGap,,Presentation layer,Other,Tools,PhoneGap,https://vox.sapient.com/docs/DOC-118531,,IND,TW-Jan14-Assess,3.666666667,Maintain,Invest,In,50,0,Maintain,4,Maintain,4,Maintain,4,Watch,2,Maintain,4,,Maintain,4,
,,,,,,,,,Presentation layer,Next Generation Platform,Techniques,Mobile first,,,,,,,Invest,In,50,0,,,,,,,,,,,,,,
,,,,,,,,,Business services,Next Generation Platform,Techniques,Domain driven design,https://vox.sapient.com/docs/DOC-119774,,,,,,Invest,Out,50,0,,,,,,,,,,,,,,
